number,name,author,copyright,copydate,lyrics
405,Jesus Reign,"Jason Ingram, Josh Fox",Sony/ATV Timber Publishing,2009,"Verse 1:
My hands are worn
Holding onto things that won't endure
My heart is poor
Lift me up to see there's so much more

Chorus:
Jesus I belong to You
Take my life, all my days
With open hands, I come to You
In my life, have Your way

Verse 2:
My cup runs dry
You alone can quench the thirst inside
Your love is life
In You alone my soul is satisfied

Bridge:
Jesus reign, Jesus reign, Jesus reign"
406,Your Great Name,"Krissy Nordhoff, Michael Neale",Integrity's Praise! Music,2008,"Verse 1: 
Lost are saved, find their way 
At the sound of Your great name 
All condemned, feel no shame
At the sound of Your great name 
Every fear, has no place
At the sound of Your great name 
The enemy, he has to leave
At the sound of Your great name

Chorus: 
Jesus, Worthy is the Lamb 
That was slain for us
Son of God and Man 
You are high and lifted up
That all the world will praise Your great name

Verse 2: 
All the weak, find their strength
At the sound of Your great name 
Hungry souls, receive grace
At the sound of Your great name 
The fatherless, they find their rest
At the sound of Your great name 
Sick are healed, and the dead are raised
At the sound of Your great name

Bridge: 
Redeemer, my Healer, Almighty 
My Savior, Defender, You are my King"
407,Who Am I,Mark Hall,My Refuge Music,2003,"Verse 1:
Who am I?
That the Lord of all the earth
Would care to know my name
Would care to feel my hurt
Who am I?
That the bright and morning star
Would choose to light the way
For my ever wondering heart

Pre-chorus:
Not because of who I am
But because of what you've done
Not because of what I've done
But because of who you are

Chorus:
I am a flower quickly fading
Here today and gone tomorrow
A wave tossed in the ocean
A vapor in the wind
Still you hear me when I'm calling
Lord you catch me when I'm falling
And you told me who I am
I am yours
I am yours

Verse 2:
Who am I?
That the eyes that see my sin
Would look on me with love
And watch me rise again
Who am I?
That the voice that calm the sea
Would call out through the rain
And calm the storm in me"
408,You're Beautiful,Phil Wickham,Seems Like Music (Admin. by Simpleville Music,2007,"Verse 1:
I see Your face in every sunrise
The colors of the morning are inside Your eyes
The world awakens in the light of the day
I look up to the sky and say You're beautiful

Verse 2:
I see Your power in the moonlit night
Where planets are in motion and galaxies are bright
We are amazed in the light of the stars
It's all proclaiming who you are You're beautiful

Verse 3:
I see you there hanging on a tree
You bled and then you died and then you rose again for me
Now you are sitting on Your heavenly throne
Soon we will be coming home You're beautiful

Verse 4:
When we arrive at eternity's shore
Where death is just a memory and tears are no more
We'll enter in as the wedding bells ring
Your bride will come together and we'll sing You're beautiful"
409,Cannons,Phil Wickham,"Seems Like Music (Admin. by Simpleville Music, Inc",2007,"Verse 1a:
It's falling from the clouds
A strange and lovely sound
I hear it in the thunder and rain

Verse 1b:
It's ringing in the skies
Like cannons in the night
The music of the universe plays

Chorus A:
You are holy great and mighty
The moon and the stars declare who You are

Chorus B:
I'm so unworthy, but still You love me
Forever my heart will sing of how great You are

Verse 2a:
Beautiful and free
Song of Galaxies
It's reaching far beyond the milky way

Verse 2b:
Lets join in with the sound
C'mon let's sing it loud
As the music of the universe plays

Bridge:
All glory, honor, power is Yours amen
All glory, honor, power is Yours amen
All glory, honor, power is Yours forever amen"
410,Alabaster Jar,Zach Neese,Gateway Create Publishing,2005,"Verse 1:
This alabaster jar is all I have of worth
I break it at Your feet, Lord, it's less than You deserve
You're far more beautiful, more precious than the oil
The sum of my desires and the fullness of my joy

Pre-chorus:
Like You spilled Your blood, I spill my heart
As an offering to my King

Chorus:
Here I am, take me as an offering
Here I am, giving every heartbeat for Your glory
Take me

Verse 2:
This time that I have left is all I have of worth
I lay it at Your feet, Lord, it's less than You deserve
And though I've little strength, and though my days are few
You gave Your life for me so I will live my life for You

Bridge:
Worthy, worthy, You are worthy, worthy is the Lord
Worthy, worthy, You are worthy, worthy is the Lord"
411,He Knows My Name,Tommy Walker,Doulos Publishing,1996,"Verse 1:
I  have a Maker
He formed my heart
Before even time began
My life was in his hands

Chorus:
He knows my name
He knows my every thought
He sees each tear that falls
and He hears me when I call

Verse 2:
I have a Father
He calls me His own
He'll never leave me
No matter where I go"
412,Because of Your Love,Phil Wickham,2007,,"V1:
Jesus you endured my pain 
Savior you bore all my shame 
All because of your love 
All because of your love

Maker of the universe 
Broken for the sins of the earth 
All because of your love 
All because of your love

Chorus:
Because of your cross my debt is paid Because of you blood my sins are washed away 
Now all of my life, I freely give Because of your love, Because of your love I live

V2:
Innocent and Holy king 
You died to set the captive free 
All because of your love 

Lord you gave your life for me 
So I will give my life for you 
All because of your love 
All because of your love

Bridge:
You did it for me, you did it for love It's your victory, Jesus you are enough
It's your victory, Jesus you are enough
It's your victory, Jesus you are enough"
413,Happy Day,Tim Hughes,2007,,"Verse 1:
The greatest day in history
Death is beaten, You have rescued me
Sing it out Jesus is alive
The empty cross, The empty grave
Life eternal You have won the day
Shout it out Jesus is alive
He's alive

Chorus:
Oh happy day, happy day
You washed my sin away
Oh happy day, happy day
I'll never be the same
Forever I am changed

Verse 2:
When I stand, in that place
Free at last, meeting face to face
I am Yours Jesus You are mine
Endless joy, perfect peace
Earthly pain finally will cease
Celebrate Jesus is alive
He's alive

Bridge:
Oh what a glorious day
What a glorious way
That You have saved me
Oh what a glorious day
What a glorious name"
414,Christ Is Risen,"Matt Maher, Mia Fieldes",Thankyou/spiritandsong.com/SHOUT!,2009,"Verse 1:
Let no one caught in sin remain
Inside the lie of inward shame
But fix our eyes upon the cross
And run to Him who showed great love
And bled for us
Freely You've bled for us

Chorus (part 1):
Christ is risen from the dead
Trampling over death by death
Come awake, come awake
Come and rise up from the grave

Chorus (part 2):
Christ is risen from the dead
We are one with Him again
Come awake, come awake
Come and rise up from the grave

Verse 2:
Beneath the weight of all our sin
You bowed to none but heaven's will
No scheme of hell, no scoffer's crown
No burden great can hold You down
In strength You reign
Forever let Your church proclaim

Bridge (part 1):
O death, where is your sting?
O hell, where is your victory?
O church, come stand in the light
The glory of God has defeated the night

Bridge (part 2):
O death, where is your sting
O hell, where is your victory
O church, come stand in the light
Our God is not dead 
He's alive! He's alive!
"
415,"My Jesus, I Love Thee","Willaim Featherstone, Adoniram Gordon",Public Domain,,"Verse 1:
My Jesus, I love thee, I know Thou art mine
For Thee all the follies of sin I resign
My gracious Redeemer, my Saviour art Thou
If ever I loved Thee, my Jesus, 'tis now

Verse 2:
I love Thee because Thou has first loved me
And purchased my pardon on Calvary's tree
I love Thee for wearing the thorns on Thy brow
If ever I loved Thee, my Jesus, 'tis now

Verse 3:
I'll love Thee in life, I will love Thee in death
And praise Thee as long as Thou lendest me breath
And say when the death dew lies cold on my brow
If ever I loved Thee, my Jesus, 'tis now

Verse 4:
In mansions of glory and endless delight
I'll ever adore Thee in heaven so bright
I'll sing with the glittering crown on my brow
If ever I loved Thee, my Jesus, 'tis now
"
416,My Redeemer Lives,John Willison,Mercy/Vineyard,1993,"Verse 1:
For I know my redeemer lives
And in the end he will stand on the earth
For I know my redeemer lives
And in the end he will reign on the earth

Pre-Chorus:
Though my flesh it be destroyed
Yet with my eyes I will see God

Chorus:
For I know that my redeemer lives
And I will stand with him on that day
For I know that my redeemer lives
And I will stand with him on that day

Verse 2:
How my heart it yearns within me
For the day when Jesus returns
How my heart it yearns within me
For the day when Jesus shall reign
"
417,Alive,Steve &amp; Vikki Cook,Sovereign Grace Worship,2011,"Verse 1:
My heart of stone was dead to You 
Asleep within a world 
That scorned its maker 
Until You breathed into my soul 
And I woke up to You 
My glorious Savior 
You became my all 
You became my all 

Chorus:
Now I am alive, I am alive in You 
You are alive, You are alive in me 
You called my name 
And raised me from the dead 
Now I am alive, I am alive in You 

Verse 2:
In You my life's completely new 
I'm blameless in Your eyes 
Because of Calvary 
The Father welcomes me with joy 
Your Spirit makes me know 
Your great love for me 
Jesus, You're my all 
Jesus, You're my all 

Bridge:
Bought with a price that cannot be measured 
Chosen before all time 
You are my joy, my prize, and my treasure 
Jesus, You are my life"
